text	word	count	tf
Burke.1790.Reflections on the Revolution of France.txt	indecent	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	manners	24	0.000254777070064
Burke.1790.Reflections on the Revolution of France.txt	morality	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	moral	34	0.00036093418259
Burke.1790.Reflections on the Revolution of France.txt	immoral	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sin	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	sinful	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	shame	9	9.55414012739e-05
Burke.1790.Reflections on the Revolution of France.txt	shameful	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	etiquette	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	reputation	7	7.43099787686e-05
Burke.1790.Reflections on the Revolution of France.txt	reputable	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	disreputable	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	virtuous	11	0.000116772823779
Burke.1790.Reflections on the Revolution of France.txt	temper	8	8.49256900212e-05
Burke.1790.Reflections on the Revolution of France.txt	licentious	4	4.24628450106e-05
Burke.1790.Reflections on the Revolution of France.txt	licentiousness	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	debauched	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	debauchery	2	2.12314225053e-05
Burke.1790.Reflections on the Revolution of France.txt	conduct	40	0.000424628450106
Burke.1790.Reflections on the Revolution of France.txt	character	44	0.000467091295117
Burke.1790.Reflections on the Revolution of France.txt	virtue	50	0.000530785562633
Burke.1790.Reflections on the Revolution of France.txt	faultless	0	0.0
Burke.1790.Reflections on the Revolution of France.txt	excellence	6	6.36942675159e-05
Burke.1790.Reflections on the Revolution of France.txt	esteem	3	3.1847133758e-05
Burke.1790.Reflections on the Revolution of France.txt	admiration	5	5.30785562633e-05
Burke.1790.Reflections on the Revolution of France.txt	nobility	36	0.000382165605096
Burke.1790.Reflections on the Revolution of France.txt	dignity	28	0.000297239915074
Burke.1790.Reflections on the Revolution of France.txt	dignified	1	1.06157112527e-05
Burke.1790.Reflections on the Revolution of France.txt	principle	91	0.000966029723992
